Publication.Year,Study.Name,Study.Name.numbered,Title,Journal,Paper.Notes,WoS.Search,Google.Scholar,Partial.database,Original.Source_Publication.Year,Uses.Hatching.Success_Failure,Uses.Hatchability,Study.Start,Study.End,Order,Common.Name,IUCN.Name,BirdTree.Tip,IUCN.Status.Current.Parent,Regional.Threat.Status,IUCN.Status.Current_SUB,Threat_Status_SUB,Latitude,Longitude,Wild.Managed.Captive,Incubation,Nestboxes.Burrows.Sites,Supplementary.Feeding,Mean.Hatching.Failure.std,Mean.Hatching.Success.std,Standard.Error,Standard.Deviation,Clutch.Size.BoW,Clutch.Size.NZBO,Av.Clutch.Size,Av.Clutch.Size.Mean,Cooney2020_log.Clutch.Size,Cooney2020_10^.Clutch.Size,Nest.Clutch.no,Eggs.no,Eggs.StudyClutch.Mean,Eggs.CooneyClutch,Egg.NZBO.Clutch.Size,Egg.BoW.Clutch.Size,Total,Cases,Proportion,Standardised.Hatching.Success.Definition,Standardised.Hatchability.Definition,Other.Definition,Calculations.Estimations_HatchingFailure,Calculations.Estimations_TotalEggs,TotalEggs_Summary
2010,Heber & Briskie 2010,Heber & Briskie 2010 (37),Population bottlenecks and increased hatching failure in endangered birds,Conservation Biology,Original source = Imber (1987),YES,NO,YES,1987,YES,NO,1971,1983,Procellariiformes,﻿Black Petrel,Procellaria_parkinsoni,Procellaria_parkinsoni,NA,,VU,Threatened,-36.1917130,175.0760060,Wild managed,Natural,No,No,7.6,92.4,0.00,0.00,,,1,1,0,1,66,66,66,66,NA,NA,66,60.984,0.924,"Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion, predation, or adverse weather",NA,NA,NA,NA,Actual total
2010,Heber & Briskie 2010,Heber & Briskie 2010 (41),Population bottlenecks and increased hatching failure in endangered birds,Conservation Biology,Original source = Letocart & Salas (1997),YES,NO,YES,1997,YES,NO,1988,1994,Eurypygiformes,﻿Kagu,Rhynochetos_jubatus,Rhynochetos_jubatus,NA,,EN,Threatened,-22.1103610,166.6590180,Wild,Natural,No,No,0,100,0.00,0.00,,,1,1,0,1,23,23,23,23,NA,NA,23,23,1,"Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion, predation, or adverse weather",NA,NA,NA,NA,Actual total
2010,Heber & Briskie 2010,Heber & Briskie 2010 (48),Population bottlenecks and increased hatching failure in endangered birds,Conservation Biology,Original source = Grzybowski (1995) - now on BoW online -> HS% details in Graber (1961),YES,NO,YES,1961,YES,NO,1954,1956,Passeriformes,Black-capped Vireo,Vireo_atricapilla,Vireo_atricapilla,NA,,NT,Non-threatened,33.0524920,-98.8013610,Wild,Natural,No,No,12.8,87.2,0.00,0.00,,,4,4,0.593839661,3.925,NA,109,NA,NA,NA,NA,109,95.048,0.872,"Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion, predation, or adverse weather",NA,NA,NA,NA,Actual total
2020,Hemmings & Evans 2020,Hemmings & Evans 2020 (01),Unhatched eggs represent the invisible fraction in two wild bird populations,Biology Letters,NA,YES,NO,NO,2020,YES,NO,2008,2010,Passeriformes,Eurasian Blue Tit,Cyanistes_caeruleus,Parus_caeruleus,NA,,LC,Non-threatened,51.7704170,-1.3328240,Wild managed,Natural,Yes,No,4.2,95.8,0.00,0.00,,,NA,NA,0.890001613,7.7625,NA,10047,NA,NA,NA,NA,10047,9625.026,0.958,Not stated,NA,NA,NA,NA,Actual total
2020,Hemmings & Evans 2020,Hemmings & Evans 2020 (02),Unhatched eggs represent the invisible fraction in two wild bird populations,Biology Letters,NA,YES,NO,NO,2020,YES,NO,2008,2009,Passeriformes,Great Tit,Parus_major,Parus_major,NA,,LC,Non-threatened,51.7704170,-1.3328240,Wild managed,Natural,Yes,No,9.9,90.1,0.00,0.00,,,NA,NA,0.927498682,8.4625,NA,6788,NA,NA,NA,NA,6788,6115.988,0.901,Not stated,NA,NA,NA,NA,Actual total
2006,Hepp et al. 2006,Hepp et al. 2006 (01),Maternal effects in Wood Ducks: Incubation temperature influences incubation period and neonate phenotype,Functional Ecology,NA,YES,NO,NO,2006,YES,NO,2003,2004,Anseriformes,Wood Duck,Aix_sponsa,Aix_sponsa,NA,,LC,Non-threatened,33.3439940,-81.7349440,Wild managed,Artificial,Yes,No,56.2,43.8,0.00,0.00,,,12,12,1.061640934,11.525,NA,48,NA,NA,NA,NA,48,21.024,0.438,Not stated,NA,NA,NA,NA,Actual total
2006,Hepp et al. 2006,Hepp et al. 2006 (02),Maternal effects in Wood Ducks: Incubation temperature influences incubation period and neonate phenotype,Functional Ecology,NA,YES,NO,NO,2006,YES,NO,2003,2004,Anseriformes,Wood Duck,Aix_sponsa,Aix_sponsa,NA,,LC,Non-threatened,33.3439940,-81.7349440,Wild managed,Artificial,Yes,No,33.3,66.7,0.00,0.00,,,12,12,1.061640934,11.525,NA,48,NA,NA,NA,NA,48,32.016,0.667,Not stated,NA,NA,NA,NA,Actual total
2006,Hepp et al. 2006,Hepp et al. 2006 (03),Maternal effects in Wood Ducks: Incubation temperature influences incubation period and neonate phenotype,Functional Ecology,NA,YES,NO,NO,2006,YES,NO,2003,2004,Anseriformes,Wood Duck,Aix_sponsa,Aix_sponsa,NA,,LC,Non-threatened,33.3439940,-81.7349440,Wild managed,Artificial,Yes,No,22.9,77.1,0.00,0.00,,,12,12,1.061640934,11.525,NA,48,NA,NA,NA,NA,48,37.008,0.771,Not stated,NA,NA,NA,NA,Actual total
2008,Hernandez et al. 2008,Hernandez et al. 2008 (01),Influence of contamination by organochlorine pesticides and polychlorinated biphenyls on the breeding of the Spanish Imperial Eagle (Aquila adalberti),Environmental Toxicology and Chemistry,NA,YES,NO,NO,2008,YES,NO,1972,2003,Accipitriformes,Spanish Imperial Eagle,Aquila_adalberti,Aquila_adalberti,NA,,VU,Threatened,37.0427370,-6.4344150,Wild,Natural,No,No,58.11,41.89,NA,41.70,,,2.44 ± 0.85,2.44,0.389166084,2.45,149,NA,363.56,365.05,NA,NA,363.56,152.295284,0.4189,Percentage/Proportion of eggs that hatched out of eggs laid,NA,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from Table 4,Estimated from study mean
2008,Hernandez et al. 2008,Hernandez et al. 2008 (02),Influence of contamination by organochlorine pesticides and polychlorinated biphenyls on the breeding of the Spanish Imperial Eagle (Aquila adalberti),Environmental Toxicology and Chemistry,NA,YES,NO,NO,2008,YES,NO,1972,2003,Accipitriformes,Spanish Imperial Eagle,Aquila_adalberti,Aquila_adalberti,NA,,VU,Threatened,39.4349500,-5.5786890,Wild,Natural,No,No,48.22,51.78,NA,43.70,,,2.29 ± 0.81,2.29,0.389166084,2.45,229,NA,524.41,561.05,NA,NA,524.41,271.539498,0.5178,Percentage/Proportion of eggs that hatched out of eggs laid,NA,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from Table 4,Estimated from study mean
2020,Herzog et al. 2020,Herzog et al. 2020,"Nesting ecology of White-faced Ibis (Plegadis chihi) in Great Salt Lake, Utah",The Wilson Journal of Ornithology,NA,YES - post-search alert,NO,NO,2020,YES,NO,2012,2012,Pelecaniformes,White-faced Ibis,Plegadis_chihi,Plegadis_chihi,NA,,LC,Non-threatened,41.4500000,-112.2666670,Wild,Natural,No,No,24,76,NA,26.00,,,3.08 ± 0.76,3.08,0.484299839,3.05,40,NA,123.2,122,NA,NA,123.2,93.632,0.76,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period in successful clutches/nests (at least one egg hatched),NA,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from Table 2,Estimated from study mean
2019,Higgott 2019,Higgott 2019,Evolutionary ecology of avian nest design and function in a variable environment ,PhD Thesis,NA,NO,"""hatching success""",NO,2019,YES,NO,1994,2018,Passeriformes,Long-tailed Tit,Aegithalos_caudatus,Aegithalos_caudatus,NA,,LC,Non-threatened,53.3833330, -1.566667,Wild,Natural,No,No,18.2,81.8,NA,NA,,,4-12 eggs,9,0.99612234,9.911111,230,NA,2070,2279.55553,NA,NA,2070,1693.26,0.818,Brood size on day 11 of nestling period relative to clutch size,NA,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
2004,Hoosen & Jamieson 2004,Hoosen & Jamieson 2004 (01),Variation in breeding success among reintroduced island populations of South Island Saddlebacks Philesturnus carunculatus carunculatus,Ibis,NA,YES,NO,NO,2004,YES,YES,2001,2002,Passeriformes,South Island Saddleback [carunculatus],Philesturnus_carunculatus_carunculatus,Philesturnus_carunculatus,NT,EN (NZTCS = 2 Nationally endangered; Status criteria: B1; Trend criteria: B1),EN,Threatened,-41.0919510,174.2750430,Wild,Natural,No,No,37,63,11.00,NA,,,2.0 ± 0.00,2,0.397940009,2.5,13.2,26.4,26.4,NA,NA,NA,26.4,16.632,0.63,Not stated,Not stated,NA,NA,Total eggs calculated from Table 1,Actual total
2004,Hoosen & Jamieson 2004,Hooson & Jamieson 2004 (02),Variation in breeding success among reintroduced island populations of South Island Saddlebacks Philesturnus carunculatus carunculatus,Ibis,NA,YES,NO,NO,2004,YES,YES,2001,2002,Passeriformes,South Island Saddleback [carunculatus],Philesturnus_carunculatus_carunculatus,Philesturnus_carunculatus,NT,EN (NZTCS = 2 Nationally endangered; Status criteria: B1; Trend criteria: B1),EN,Threatened,-46.9316670,168.1283330,Wild,Natural,No,No,11,89,7.40,NA,,,2.0 ± 0.05,2,0.397940009,2.5,10.5,21,21,NA,NA,NA,21,18.69,0.89,Not stated,Not stated,NA,NA,Total eggs calculated from Table 1,Actual total
2004,Hoosen & Jamieson 2004,Hooson & Jamieson 2004 (03),Variation in breeding success among reintroduced island populations of South Island Saddlebacks Philesturnus carunculatus carunculatus,Ibis,NA,YES,NO,NO,2004,YES,YES,2001,2002,Passeriformes,South Island Saddleback [carunculatus],Philesturnus_carunculatus_carunculatus,Philesturnus_carunculatus,NT,EN (NZTCS = 2 Nationally endangered; Status criteria: B1; Trend criteria: B1),EN,Threatened,-45.5833330,166.6416670,Wild,Natural,No,No,43,57,10.00,NA,,,1.9 ± 0.06,1.9,0.397940009,2.5,14,26.6,26.6,NA,NA,NA,26.6,15.162,0.57,Not stated,Not stated,NA,NA,Total eggs calculated from Table 1,Actual total
2004,Hothem & Hatch 2004,Hothem & Hatch 2004,"Reproductive Success of the Black-crowned Night Heron at Alcatraz Island, San Francisco Bay, California, 1990-2002",Waterbirds,NA,YES,NO,NO,2004,YES,YES,1990,2002,Pelecaniformes,Black-crowned Night-heron/Black-crowned Night Heron,Nycticorax_nycticorax,Nycticorax_nycticorax,NA,,LC,Non-threatened,37.8166670,-122.4166670,Wild,Natural,No,No,5.519480519,94.48051948,0.00,0.00,,,2.87,2.87,0.591064607,3.9,1372,3388,3937.64,NA,NA,NA,3388,3201,0.944805195,"Mayfield Method (1961, 1975)","Percentage/Proportion of eggs that hatched relative to clutch size in successful clutches/nests (at least one egg hatched), excluding failure due to desertion, predation, disappearance, collected, or unknown) [aka Egg Success]","[Egg Success] Calculated by dividing the total eggs that hatched by the full clutch size for each successful nest, not including those collected, abandoned, destroyed by predators, or lost",Exact HS% calculated from text,NA,Actual total
2006,Hothem et al. 2006,Hothem et al. 2006 (01),"Effects of contaminants on reproductive success of aquatic birds nesting at Edwards Air Force Base, California",Archives of Environmental Contamination and Toxicology,NA,YES,NO,NO,2006,YES,YES,1996,1999,Pelecaniformes,Black-crowned Night-heron/Black-crowned Night Heron,Nycticorax_nycticorax,Nycticorax_nycticorax,NA,,LC,Non-threatened,34.7916670,-118.1138890,Wild,Natural,No,No,4.469273743,95.53072626,0.00,0.00,,,NA,NA,0.591064607,3.9,76,179,NA,NA,NA,NA,179,171,0.955307263,Not stated,"Percentage/Proportion of eggs that hatched relative to clutch size in successful clutches/nests (at least one egg hatched), excluding failure due to desertion, predation, disappearance, collected, or unknown) [aka Egg Success]",NA,Exact HS% calculated from text,NA,Actual total
2006,Hothem et al. 2006,Hothem et al. 2006 (02),"Effects of contaminants on reproductive success of aquatic birds nesting at Edwards Air Force Base, California",Archives of Environmental Contamination and Toxicology,NA,YES,NO,NO,2006,YES,YES,1996,1999,Pelecaniformes,White-faced Ibis,Plegadis_chihi,Plegadis_chihi,NA,,LC,Non-threatened,34.7916670,-118.1138890,Wild,Natural,No,No,10.44776119,89.55223881,0.00,0.00,,,NA,NA,0.484299839,3.05,36,67,NA,NA,NA,NA,67,60,0.895522388,Not stated,"Percentage/Proportion of eggs that hatched relative to clutch size in successful clutches/nests (at least one egg hatched), excluding failure due to desertion, predation, disappearance, collected, or unknown) [aka Egg Success]",NA,Exact HS% calculated from text,NA,Actual total
2013,Huang et al. 2013,Huang et al. 2013 (01),A novel SNP marker of ovalbumin gene in association with duck hatchability,Theriogenology,NA,YES,NO,NO,2013,NO,YES,NA,NA,Anseriformes,Mallard,Anas_platyrhynchos,Anas_platyrhynchos,NA,,LC,Non-threatened,23.0594110,120.3296530,Captive,Natural,No,Yes,34.23,65.77,2.07,NA,,,NA,NA,1.015918334,10.37333333,NA,14490,NA,NA,NA,NA,14490,9530.073,0.6577,NA,Not stated,NA,NA,Total eggs calculated from Table 1,Actual total
2013,Huang et al. 2013,Huang et al. 2013 (02),A novel SNP marker of ovalbumin gene in association with duck hatchability,Theriogenology,NA,YES,NO,NO,2013,NO,YES,NA,NA,Anseriformes,Mallard,Anas_platyrhynchos,Anas_platyrhynchos,NA,,LC,Non-threatened,23.0594110,120.3296530,Captive,Natural,No,Yes,20.41,79.59,3.40,NA,,,NA,NA,1.015918334,10.37333333,NA,1718.04,NA,NA,NA,NA,1718.04,1367.388036,0.7959,NA,Not stated,NA,NA,Total eggs calculated from Table 1,Actual total
2013,Huang et al. 2013,Huang et al. 2013 (03),A novel SNP marker of ovalbumin gene in association with duck hatchability,Theriogenology,NA,YES,NO,NO,2013,NO,YES,NA,NA,Anseriformes,Mallard,Anas_platyrhynchos,Anas_platyrhynchos,NA,,LC,Non-threatened,23.0594110,120.3296530,Captive,Natural,No,Yes,23.65,76.35,1.77,NA,,,NA,NA,1.015918334,10.37333333,NA,11187.75,NA,NA,NA,NA,11187.75,8541.847125,0.7635,NA,Not stated,NA,NA,Total eggs calculated from Table 1,Actual total
2004,Hull et al. 2004,Hull et al. 2004,The breeding biology and factors affecting reproductive success in rockhopper penguins Eudyptes chrysocome at Macquarie Island,Polar Biology,NA,YES,NO,NO,2004,YES,NO,1993,1996,Sphenisciformes,Southern Rockhopper Penguin/Rockhopper Penguin,Eudyptes_chrysocome,Eudyptes_chrysocome,NA,,VU,Threatened,-54.5738310,158.9180920,Wild,Natural,No,No,0.612244898,99.3877551,0.00,0.00,,,2,2,0.301029996,2,NA,490,NA,NA,NA,NA,490,487,0.993877551,Not stated,NA,NA,HS% calculated from text and Table 5,Total eggs calculated from text and Table 5,Actual total
2020,Hurley et al. 2020,Hurley et al. 2020,Reproductive coordination breeds success: The importance of the partnership in avian sperm biology,Behavioral Ecology and Sociobiology,Also found via Dataset Search - 'egg hatching success',YES - post-search alert,NO,NO,2020,YES,NO,2014,2015,Passeriformes,Timor Zebra Finch/Zebra Finch,Taeniopygia_guttata,Taeniopygia_guttata,NA,,LC,Non-threatened,-33.7770190,151.1180230,Captive,Natural,Yes,Yes,7.751937984,92.24806202,0.00,0.00,,,"5.29 ± 1.09, 4.87 ± 1.45",5.08,0.658964843,4.56,NA,258,NA,NA,NA,NA,258,238,0.92248062,Percentage/Proportion of eggs that hatched,NA,NA,HS% calculated from text,Total eggs calculated from text,Actual total
2013,Ihle et al. 2013,Ihle et al. 2013,Does hatching failure breed infidelity?,Behavioral Ecology,NA,YES,NO,NO,2013,YES,YES,2011,2011,Passeriformes,Timor Zebra Finch/Zebra Finch,Taeniopygia_guttata,Taeniopygia_guttata,NA,,LC,Non-threatened,47.9724420,11.2353120,Captive,Natural,Yes,Yes,36.61202186,63.38797814,0.00,0.00,,,NA,NA,0.658964843,4.56,NA,549,NA,NA,NA,NA,549,348,0.633879781,Not stated,Not stated,NA,Exact HS% calculated from text,NA,Actual total
2017,Ihle et al. 2017,Ihle et al. 2017 (01),Increased prenatal maternal investment reduces inbreeding depression in offspring,Proceedings of the Royal Society B - Biological Sciences,Also found via Dataset Search - 'egg hatching success',YES,NO,NO,2017,YES,NO,2012,NA,Galliformes,Japanese Quail,Coturnix_japonica,Coturnix_japonica,NA,,NT,Non-threatened,47.3742930,8.5508880,Captive,Artificial,No,Yes,34.16666667,65.83333333,0.00,0.00,,,NA,NA,0.99343623,9.85,NA,120,NA,NA,NA,NA,120,79,0.658333333,Probability of an egg hatching,NA,NA,HS% calculated from supplementary data,Total eggs calculated from supplementary data,Actual total
2017,Ihle et al. 2017,Ihle et al. 2017 (02),Increased prenatal maternal investment reduces inbreeding depression in offspring,Proceedings of the Royal Society B - Biological Sciences,Also found via Dataset Search - 'egg hatching success',YES,NO,NO,2017,YES,NO,2012,NA,Galliformes,Japanese Quail,Coturnix_japonica,Coturnix_japonica,NA,,NT,Non-threatened,47.3742930,8.5508880,Captive,Artificial,No,Yes,48.03149606,51.96850394,0.00,0.00,,,NA,NA,0.99343623,9.85,NA,127,NA,NA,NA,NA,127,66,0.519685039,Probability of an egg hatching,NA,NA,HS% calculated from supplementary data,Total eggs calculated from supplementary data,Actual total
2017,Ihle et al. 2017,Ihle et al. 2017 (03),Increased prenatal maternal investment reduces inbreeding depression in offspring,Proceedings of the Royal Society B - Biological Sciences,Also found via Dataset Search - 'egg hatching success',YES,NO,NO,2017,YES,NO,2012,NA,Galliformes,Japanese Quail,Coturnix_japonica,Coturnix_japonica,NA,,NT,Non-threatened,47.3742930,8.5508880,Captive,Artificial,No,Yes,57.97101449,42.02898551,0.00,0.00,,,NA,NA,0.99343623,9.85,NA,138,NA,NA,NA,NA,138,58,0.420289855,Probability of an egg hatching,NA,NA,HS% calculated from supplementary data,Total eggs calculated from supplementary data,Actual total
2017,Ihle et al. 2017,Ihle et al. 2017 (04),Increased prenatal maternal investment reduces inbreeding depression in offspring,Proceedings of the Royal Society B - Biological Sciences,Also found via Dataset Search - 'egg hatching success',YES,NO,NO,2017,YES,NO,2012,NA,Galliformes,Japanese Quail,Coturnix_japonica,Coturnix_japonica,NA,,NT,Non-threatened,47.3742930,8.5508880,Captive,Artificial,No,Yes,38.29787234,61.70212766,0.00,0.00,,,NA,NA,0.99343623,9.85,NA,141,NA,NA,NA,NA,141,87,0.617021277,Probability of an egg hatching,NA,NA,HS% calculated from supplementary data,Total eggs calculated from supplementary data,Actual total
2011,Jakubas & Wojczulanis-Jakubas 2011,Jakubas & Wojczulanis-Jakubas 2011 (01),Subcolony variation in phenology and breeding parameters in Little Auk Alle alle,Polar Biology,NA,YES,NO,NO,2011,YES,YES,2008,2009,Charadriiformes,Little Auk,Alle_alle,Alle_alle,NA,,LC,Non-threatened,79.5833330,11.0833330,Wild,Natural,No,No,2.739726027,97.26027397,0.00,0.00,,,1,1,0,1,73,73,73,73,NA,NA,73,71,0.97260274,Percentage/Proportion of eggs that hatched relative to eggs monitored,Not stated,NA,HS% calculated from Tables 3 and 4,Total eggs calculated from Tables 3 and 4,Actual total
2011,Jakubas & Wojczulanis-Jakubas 2011,Jakubas & Wojczulanis-Jakubas 2011 (02),Subcolony variation in phenology and breeding parameters in Little Auk Alle alle,Polar Biology,NA,YES,NO,NO,2011,YES,YES,2008,2009,Charadriiformes,Little Auk,Alle_alle,Alle_alle,NA,,LC,Non-threatened,79.5833330,11.0833330,Wild,Natural,No,No,1.694915254,98.30508475,0.00,0.00,,,1,1,0,1,59,59,59,59,NA,NA,59,58,0.983050847,Percentage/Proportion of eggs that hatched relative to eggs monitored,Not stated,NA,HS% calculated from Tables 3 and 4,Total eggs calculated from Tables 3 and 4,Actual total
2011,Jakubas & Wojczulanis-Jakubas 2011,Jakubas & Wojczulanis-Jakubas 2011 (03),Subcolony variation in phenology and breeding parameters in Little Auk Alle alle,Polar Biology,NA,YES,NO,NO,2011,YES,YES,2008,2009,Charadriiformes,Little Auk,Alle_alle,Alle_alle,NA,,LC,Non-threatened,79.5833330,11.0833330,Wild,Natural,No,No,1.020408163,98.97959184,0.00,0.00,,,1,1,0,1,98,98,98,98,NA,NA,98,97,0.989795918,Percentage/Proportion of eggs that hatched relative to eggs monitored,Not stated,NA,HS% calculated from Tables 3 and 4,Total eggs calculated from Tables 3 and 4,Actual total
2010,Jia et al. 2010,Jia et al. 2010,Unusual incubation behavior and embryonic tolerance of hypothermia by the Blood Pheasant (Ithaginis cruentus),The Auk,NA,YES,NO,NO,2010,YES,NO,2001,2002,Galliformes,Blood Pheasant,Ithaginis_cruentus,Ithaginis_cruentus,NA,,LC,Non-threatened,34.9250000,103.6500000,Wild,Natural,No,No,8,92,0.00,0.00,,,7.8 ± 1.2,7.8,NA,NA,11,71,85.8,NA,NA,NA,71,65.32,0.92,Not stated,NA,NA,NA,NA,Actual total
2008,Jiang et al. 2008,Jiang et al. 2008,"Nesting biology and population dynamics of Jankowski's Bunting Emberiza jankowskii in Western Jilin, China",Bird Conservation International,NA,YES,NO,NO,2008,YES,NO,1999,2002,Passeriformes,Jankowski's Bunting,Emberiza_jankowskii,Emberiza_jankowskii,NA,,EN,Threatened,45.4666670,122.7833330,Wild,Natural,No,No,8.130081301,91.8699187,0.00,0.00,,,5.26 ± 0.76,5.26,NA,NA,24,123,126.24,NA,NA,NA,123,113,0.918699187,Not stated,NA,NA,HS% calculated Tables 1 and 2,Total eggs calculated from Tables 1 and 2,Actual total
2019,Johnson et al. 2019,Johnson et al. 2019,What limits clutch size? A test of the incubation‐capacity hypothesis in a high‐elevation population of Mountain Bluebirds,Journal of Field Ornithology,NA,YES,NO,NO,2019,YES,NO,2018,2018,Passeriformes,Mountain Bluebird,Sialia_currucoides,Sialia_currucoides,NA,,LC,Non-threatened,44.7666670,-107.5333330,Wild managed,Natural,Yes,No,12.08053691,87.91946309,0.00,0.00,,,5.385542169,5.385542169,0.730782276,5.38,83,447,447,446.54,NA,NA,447,393,0.879194631,Not stated,NA,NA,HS% calculated from text,Total eggs calculated from text,Actual total
2017,Kato et al. 2017,Kato et al. 2017,Male-specific mortality biases secondary sex ratio in Eurasian Tree Sparrows Passer montanus,Ecology and Evolution,NA,NO,NO,NO,2017,YES,NO,2016,2016,Passeriformes,Eurasian Tree Sparrow/Tree Sparrow,Passer_montanus,Passer_montanus,NA,,LC,Non-threatened,40.0000000,140.0000000,Wild managed,Natural,Yes,No,37.6146789,62.3853211,0.00,0.00,,,5,5,0.684620978,4.8375,41,218,205,198.3375,NA,NA,218,136,0.623853211,Not stated,NA,NA,HS% calculated from text,NA,Actual total
2015,Katrinardottir et al. 2015,Katrinardottir et al. 2015,The effects of habitat type and volcanic eruptions on the breeding demography of icelandic whimbrels Numenius phaeopus,PLoS ONE,NA,YES,NO,NO,2015,YES,NO,2009,2011,Charadriiformes,Whimbrel/Icelandic Whimbrel,Numenius_phaeopus,Numenius_phaeopus,NA,,LC,Non-threatened,63.8300175,-18.3544820,Wild,Natural,No,No,3.076923077,96.92307692,0.00,0.00,,,NA,NA,0.592454351,3.9125,NA,65,NA,NA,NA,NA,65,63,0.969230769,Not stated,NA,NA,HS% calculated from text,Total eggs calculated from text,Actual total
2016,Khan et al. 2016a,Khan et al. 2016a (01),"Compensating for a stressful start: maternal corticosterone, offspring survival, and size at fledging in the Zebra Finch, Taeniopygia guttata",Emu,NA,YES,NO,NO,2016,YES,NO,NA,NA,Passeriformes,Timor Zebra Finch/Zebra Finch,Taeniopygia_guttata,Taeniopygia_guttata,NA,,LC,Non-threatened,NA,NA,Captive,Natural,Yes,Yes,45,55,0.00,0.00,,,2.8,2.8,0.658964843,4.56,25,NA,70,114,NA,NA,70,38.5,0.55,Percentage/Proportion of eggs that hatched out of eggs laid,NA,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
2016,Khan et al. 2016a,Khan et al. 2016a (02),"Compensating for a stressful start: maternal corticosterone, offspring survival, and size at fledging in the Zebra Finch, Taeniopygia guttata",Emu,NA,YES,NO,NO,2016,YES,NO,NA,NA,Passeriformes,Timor Zebra Finch/Zebra Finch,Taeniopygia_guttata,Taeniopygia_guttata,NA,,LC,Non-threatened,NA,NA,Captive,Natural,Yes,Yes,24,76,0.00,0.00,,,2.2,2.2,0.658964843,4.56,31,NA,68.2,141.36,NA,NA,68.2,51.832,0.76,Percentage/Proportion of eggs that hatched out of eggs laid,NA,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
2016,Khan et al. 2016b,Khan et al. 2016b (01),Maternal corticosterone exposure has transgenerational effects on grand-offspring,Biology Letters,NA,YES,NO,NO,2016,YES,NO,NA,NA,Passeriformes,Timor Zebra Finch/Zebra Finch,Taeniopygia_guttata,Taeniopygia_guttata,NA,,LC,Non-threatened,NA,NA,Captive,Natural,Yes,Yes,37.93103448,62.06896552,0.00,0.00,,,3.22 ± 0.36,3.22,0.658964843,4.56,9,29,28.98,41.04,NA,NA,29,18,0.620689655,Not stated,NA,NA,HS% calculated from supplementary data,NA,Actual total
2016,Khan et al. 2016b,Khan et al. 2016b (02),Maternal corticosterone exposure has transgenerational effects on grand-offspring,Biology Letters,NA,YES,NO,NO,2016,YES,NO,NA,NA,Passeriformes,Timor Zebra Finch/Zebra Finch,Taeniopygia_guttata,Taeniopygia_guttata,NA,,LC,Non-threatened,NA,NA,Captive,Natural,Yes,Yes,34.32835821,65.67164179,0.00,0.00,,,3.53 ± 0.29,3.53,0.658964843,4.56,19,67,67.07,86.64,NA,NA,67,44,0.656716418,Not stated,NA,NA,HS% calculated from supplementary data,NA,Actual total
2010,Kim et al. 2010a,Kim et al. 2010a (01),Incubation capacity limits clutch size in south polar skuas,Antarctic Science,NA,YES,NO,NO,2010,YES,YES,2004,2009,Charadriiformes,South Polar Skua,Catharacta_maccormicki,Catharacta_maccormicki,NA,,LC,Non-threatened,-62.2166670,-58.7833330,Wild,Natural,No,No,10.5,89.5,NA,31.50,,,1,1,0.278753601,1.9,19,19,19,NA,NA,NA,19,17.005,0.895,Percentage/Proportion of eggs that hatched per clutch/nest,"Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to predation",NA,NA,Total eggs calculated from text,Actual total
2010,Kim et al. 2010a,Kim et al. 2010a (02),Incubation capacity limits clutch size in south polar skuas,Antarctic Science,NA,YES,NO,NO,2010,YES,YES,2004,2009,Charadriiformes,South Polar Skua,Catharacta_maccormicki,Catharacta_maccormicki,NA,,LC,Non-threatened,-62.2166670,-58.7833330,Wild,Natural,No,No,4.6,95.4,NA,14.90,,,2,2,0.278753601,1.9,NA,158.0545073,NA,NA,NA,NA,158.0545073,150.784,0.954,Percentage/Proportion of eggs that hatched per clutch/nest,"Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to predation",NA,NA,Total eggs calculated from Table 3,Actual total
2010,Kim et al. 2010b,Kim et al. 2010b,Hatching asynchrony is constrained by parental nest attendance during laying,Behavioral Ecology and Sociobiology,NA,YES,NO,NO,2010,YES,NO,2006,2006,Charadriiformes,European Herring Gull/Herring Gull,Larus_argentatus,Larus_argentatus,NA,,LC,Non-threatened,55.2666670,-5.5833330,Wild,Natural,No,No,9.411764706,90.58823529,0.00,0.00,,,2-3 eggs,2.5,0.432702102,2.70833325,34,85,85,92.0833305,NA,NA,85,77,0.905882353,Not stated,NA,NA,HS% calculated from text,Total eggs calculated from text,Actual total
